City,Date,PM2.5,PM10,NO2,CO,SO2
Hà Nội,2/2/2021,95,59,36,10,
Hà Nội,2/2/2021,113,70,18,4,1
Đà Nẵng,2/2/2021,,,1,3,6
Nha Trang,2/3/2021,,,7,2,3
Hà Nội,2/2/2021,119,81,23,17,
Hà Nội,2/2/2021,98,57,12,7,
Hà Nội,2/2/2021,131,94,26,21,
Hà Nội,2/2/2021,105,61,,7,
Cao Bằng,2/2/2021,53,83,,,1
Hồ Chí Minh ,2/3/2021,76,,,,
Hà Nội,2/3/2021,,,,,
Hà Nội,2/3/2021,93,0,11.5,0.1,4.6
Gia Lai,2/3/2021,37,28,5,2,2
Thừa Thiên Huế,2/3/2021,30,32,,2,
Hà Nội,2/3/2021,108,67,22,13,1
Bắc Ninh,2/3/2021,40,31,6,1,2
Lào Cai,2/3/2021,183,90,6,31,54
Hạ Long,2/3/2021,45,23,,,
Quảng Ninh,2/3/2021,5,3,10,6,99
Bắc Ninh,2/3/2021,86,53,9,2,2
Bắc Ninh,2/3/2021,119,74,4,3,1
Hà Nội,2/3/2021,102,76,35,38,
Hà Nội,2/3/2021,82,52,9,4,
Hà Nội,2/3/2021,83,56,27,6,
Hà Nội,2/3/2021,103,60,14,2,1
Đà Nẵng,2/3/2021,,,1,13,6
Nha Trang,2/3/2021,,,2,1,3
Hà Nội,2/3/2021,98,74,25,14,
Hà Nội,2/3/2021,75,56,7,5,
Hà Nội,2/3/2021,102,76,27,20,
Hà Nội,2/3/2021,74,53,,5,
Cao Bằng,2/2/2021,53,83,,,1
Hồ Chí Minh ,2/5/2021,137,,,,
Hà Nội,2/5/2021,,,,,
Hà Nội,2/5/2021,124,0,19.2,0.1,4.6
Gia Lai,2/5/2021,14,12,5,2,1
Thừa Thiên Huế,2/5/2021,38,90,,3,
Hà Nội,2/5/2021,114,81,18,9,1
Bắc Ninh,2/5/2021,50,40,9,2,3
Lào Cai,2/5/2021,54,14,4,31,59
Hạ Long,2/5/2021,31,22,,,
Quảng Ninh,2/5/2021,8,5,14,4,99
Bắc Ninh,2/5/2021,96,58,4,2,4
Bắc Ninh,2/5/2021,,,2,2,2
Hà Nội,2/5/2021,123,82,25,18,
Hà Nội,2/5/2021,82,51,15,4,
Hà Nội,2/5/2021,89,60,23,5,
Hà Nội,2/5/2021,104,68,14,1,1
Đà Nẵng,2/5/2021,,,1,8,6
Nha Trang,2/5/2021,,,4,2,3
Hà Nội,2/5/2021,112,69,14,13,
Hà Nội,2/5/2021,78,52,8,4,
Hà Nội,2/5/2021,116,80,17,15,
Hà Nội,2/5/2021,94,58,,6,
Cao Bằng,2/5/2021,90,99,,,1
Hồ Chí Minh ,2/6/2021,91,,,,
Hà Nội,2/6/2021,,,,,
Hà Nội,2/6/2021,139,0,20.6,0.2,5.1
Gia Lai,2/6/2021,25,25,4,2,1
Thừa Thiên Huế,2/6/2021,39,69,,2,
Hà Nội,2/6/2021,85,60,14,7,2
Bắc Ninh,2/6/2021,75,77,12,4,2
Lào Cai,2/6/2021,45,8,2,32,41
Hạ Long,2/6/2021,22,13,,,
Quảng Ninh,2/6/2021,5,4,10,4,99
Bắc Ninh,2/6/2021,149,84,6,3,4
Bắc Ninh,2/6/2021,,,6,3,2
Hà Nội,2/6/2021,85,67,34,35,
Hà Nội,2/6/2021,61,47,8,4,
Hà Nội,2/6/2021,64,51,30,9,
Hà Nội,2/6/2021,73,62,23,2,1
Đà Nẵng,2/6/2021,,,1,14,6
Nha Trang,2/6/2021,,,2,3,4
Hà Nội,2/6/2021,85,67,19,11,
Hà Nội,2/6/2021,55,40,7,6,
Hà Nội,2/6/2021,85,68,23,18,
Hà Nội,2/6/2021,59,43,,6,
