City,Date,PM2.5,PM10,NO2,CO,SO2
Bắc Ninh,5/13/2021,51,40,1,6,2
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,4/27/2021,36,23,6,4,
Hà Nội,4/27/2021,60,45,28,13,
Hà Nội,4/12/2021,1,1,27,6,1
Đà Nẵng,5/5/2021,58,33,10,1,23
Nha Trang,5/19/2021,,,1,1,5
Hà Nội,4/27/2021,41,37,18,17,
Hà Nội,4/27/2021,32,27,7,3,
Hà Nội,4/27/2021,74,63,19,12,
Hà Nội,5/5/2021,18,12,,5,
Cao Bằng,5/19/2021,100,142,1,,2
Hồ Chí Minh ,5/20/2021,53,,,,
Hà Nội,5/20/2021,57,,,,
Hà Nội,5/20/2021,85,,7.4,0.1,4.1
Gia Lai,5/20/2021,15,14,8,2,12
Thừa Thiên Huế,5/20/2021,,,,4,
Hà Nội,2/26/2021,0,0,0,0,0
Bắc Ninh,5/20/2021,53,57,9,2,7
Lào Cai,5/20/2021,2,1,6,34,53
Hạ Long,4/29/2021,,,,,
Quảng Ninh,5/20/2021,7,6,3,3,1
Bắc Ninh,5/20/2021,60,57,5,1,10
Bắc Ninh,5/20/2021,56,44,2,7,1
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,4/27/2021,36,23,6,4,
Hà Nội,4/27/2021,60,45,28,13,
Hà Nội,4/12/2021,1,1,27,6,1
Đà Nẵng,5/5/2021,58,33,10,1,23
Nha Trang,5/20/2021,,,4,2,5
Hà Nội,4/27/2021,41,37,18,17,
Hà Nội,4/27/2021,32,27,7,3,
Hà Nội,4/27/2021,74,63,19,12,
Hà Nội,5/5/2021,18,12,,5,
Cao Bằng,5/20/2021,75,83,1,,1
Hồ Chí Minh ,5/21/2021,57,,,,
Hà Nội,5/21/2021,48,,,,
Hà Nội,5/21/2021,102,,6.4,0.1,4.6
Gia Lai,5/21/2021,36,31,14,4,12
Thừa Thiên Huế,5/21/2021,,,,3,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,5/20/2021,63,69,13,3,7
Lào Cai,5/21/2021,2,1,2,34,52
Hạ Long,4/29/2021,,99.5,,,
Quảng Ninh,5/21/2021,6,6,3,4,1
Bắc Ninh,5/20/2021,74,69,12,2,20
Bắc Ninh,5/20/2021,66,51,1,6,2
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,4/27/2021,36,23,6,4,
Hà Nội,4/27/2021,60,45,28,13,
Hà Nội,4/12/2021,1,1,27,6,1
Đà Nẵng,5/21/2021,25,21,11,1,25
Nha Trang,5/21/2021,,,5,2,5
Hà Nội,4/27/2021,41,37,18,17,
Hà Nội,4/27/2021,32,27,7,3,
Hà Nội,4/27/2021,74,63,19,12,
Hà Nội,5/5/2021,18,12,,5,
Cao Bằng,5/21/2021,79,97,1,,1
Hồ Chí Minh ,5/24/2021,57,,,,
Hà Nội,5/24/2021,57,,,,
Hà Nội,5/24/2021,78,,6.9,0.1,4.6
Gia Lai,5/24/2021,22,27,10,3,13
Thừa Thiên Huế,5/24/2021,,,,10,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,5/24/2021,95,57,8,5,7
Lào Cai,5/24/2021,27,26,2,45,52
Hạ Long,4/29/2021,,99.5,,,
Quảng Ninh,5/24/2021,7,9,8,7,1
Bắc Ninh,5/24/2021,29,38,2,2,1
Bắc Ninh,5/24/2021,43,33,2,7,3
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,4/27/2021,36,23,6,4,
Hà Nội,4/27/2021,60,45,28,13,
Hà Nội,4/12/2021,1,1,27,6,1
Đà Nẵng,5/24/2021,49,31,10,6,25
Nha Trang,5/24/2021,,,3,1,5
Hà Nội,4/27/2021,41,37,18,17,
Hà Nội,4/27/2021,32,27,7,3,
Hà Nội,4/27/2021,74,63,19,12,
Hà Nội,5/5/2021,18,12,,5,
Cao Bằng,5/24/2021,56,69,1,,1
Hồ Chí Minh ,5/26/2021,46,,,,
Hà Nội,5/26/2021,90,,,,
Hà Nội,5/26/2021,159,,7.4,0.2,5.1
Gia Lai,5/26/2021,17,17,8,3,14
Thừa Thiên Huế,5/26/2021,,,,5,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,5/26/2021,68,46,5,5,8
Lào Cai,5/26/2021,27,1,3,40,56
Hạ Long,4/29/2021,,99.5,,,
Quảng Ninh,5/26/2021,2,3,5,10,7
Bắc Ninh,5/26/2021,66,55,19,4,1
Bắc Ninh,5/26/2021,79,51,4,5,2
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,4/27/2021,36,23,6,4,
Hà Nội,4/27/2021,60,45,28,13,
Hà Nội,4/12/2021,1,1,27,6,1
Đà Nẵng,5/26/2021,43,31,11,7,26
Nha Trang,5/26/2021,,,8,8,5
Hà Nội,4/27/2021,41,37,18,17,
Hà Nội,4/27/2021,32,27,7,3,
Hà Nội,4/27/2021,74,63,19,12,
Hà Nội,5/5/2021,18,12,,5,
Cao Bằng,5/26/2021,88,89,1,,1
Hồ Chí Minh ,5/28/2021,63,,,,
Hà Nội,5/28/2021,72,,,,
Hà Nội,5/28/2021,97,,6.9,0.2,5.1
Gia Lai,5/28/2021,19,15,10,4,14
Thừa Thiên Huế,5/28/2021,,,,5,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,5/28/2021,59,43,7,3,8
Lào Cai,5/28/2021,27,1,1,42,84
Hạ Long,4/29/2021,,99.5,,,
Quảng Ninh,5/28/2021,2,3,4,13,1
Bắc Ninh,5/28/2021,39,52,9,2,1
Bắc Ninh,5/28/2021,46,37,6,7,2
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,4/27/2021,36,23,6,4,
Hà Nội,4/27/2021,60,45,28,13,
Hà Nội,4/12/2021,1,1,27,6,1
Đà Nẵng,5/28/2021,56,37,10,5,27
Nha Trang,5/28/2021,,,7,6,5
Hà Nội,4/27/2021,41,37,18,17,
Hà Nội,4/27/2021,32,27,7,3,
Hà Nội,4/27/2021,74,63,19,12,
Hà Nội,5/5/2021,18,12,,5,
Cao Bằng,5/28/2021,70,65,1,,1
Hồ Chí Minh ,5/30/2021,53,,,,
Hà Nội,5/30/2021,54,,,,
Hà Nội,5/30/2021,102,,6.9,0.1,4.6
Gia Lai,5/30/2021,20,18,4,1,12
Thừa Thiên Huế,5/30/2021,,,,3,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,5/30/2021,40,37,6,1,11
Lào Cai,5/30/2021,27,1,2,37,53
Hạ Long,4/29/2021,,99.5,,,
Quảng Ninh,5/30/2021,8,10,25,11,2
Bắc Ninh,5/30/2021,58,58,7,1,9
Bắc Ninh,5/30/2021,65,53,2,7,3
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,4/27/2021,36,23,6,4,
Hà Nội,4/27/2021,60,45,28,13,
Hà Nội,4/12/2021,1,1,27,6,1
Đà Nẵng,5/30/2021,45,33,11,1,24
Nha Trang,5/30/2021,,,1,1,5
Hà Nội,4/27/2021,41,37,18,17,
Hà Nội,4/27/2021,32,27,7,3,
Hà Nội,4/27/2021,74,63,19,12,
Hà Nội,5/5/2021,18,12,,5,
Cao Bằng,5/30/2021,65,71,1,,1
Hồ Chí Minh ,6/12/2021,46,,,,
Hà Nội,6/12/2021,65,,,,
Hà Nội,6/12/2021,65,,7.4,0.1,5.1
Gia Lai,6/12/2021,6,5,3,1,14
Thừa Thiên Huế,6/12/2021,,,,11,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,6/12/2021,52,39,7,1,8
Lào Cai,6/12/2021,99.5,191,1,43,52
Hạ Long,6/12/2021,,0.5,,,
Quảng Ninh,6/12/2021,12,16,2,12,5
Bắc Ninh,6/12/2021,47,40,5,1,8
Bắc Ninh,6/12/2021,57,42,2,6,1
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,4/27/2021,36,23,6,4,
Hà Nội,4/27/2021,60,45,28,13,
Hà Nội,4/12/2021,1,1,27,6,1
Đà Nẵng,6/12/2021,26,20,10,4,29
Nha Trang,6/12/2021,,,2,2,5
Hà Nội,4/27/2021,41,37,18,17,
Hà Nội,4/27/2021,32,27,7,3,
Hà Nội,4/27/2021,74,63,19,12,
Hà Nội,5/5/2021,18,12,,5,
Cao Bằng,6/12/2021,52,61,,,2
Hồ Chí Minh ,6/13/2021,68,,,,
Hà Nội,6/13/2021,61,,,,
Hà Nội,6/13/2021,21,,6.4,0.1,5.1
Gia Lai,6/13/2021,6,5,2,1,14
Thừa Thiên Huế,6/13/2021,,,,8,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,6/13/2021,13,13,4,1,9
Lào Cai,6/13/2021,2.6,16,1,45,52
Hạ Long,6/13/2021,,3.8,,,
Quảng Ninh,6/13/2021,13,14,9,9,5
Bắc Ninh,6/13/2021,8,14,3,1,2
Bắc Ninh,6/13/2021,9,12,3,6,2
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,4/27/2021,36,23,6,4,
Hà Nội,4/27/2021,60,45,28,13,
Hà Nội,4/12/2021,1,1,27,6,1
Đà Nẵng,6/13/2021,,,11,9,28
Nha Trang,6/13/2021,,,8,7,5
Hà Nội,4/27/2021,41,37,18,17,
Hà Nội,4/27/2021,32,27,7,3,
Hà Nội,4/27/2021,74,63,19,12,
Hà Nội,5/5/2021,18,12,,5,
Cao Bằng,6/13/2021,53,55,,,2
Hồ Chí Minh ,6/14/2021,38,,,,
Hà Nội,6/14/2021,38,,,,
Hà Nội,6/14/2021,53,,7.4,0.1,5.6
Gia Lai,6/14/2021,14,14,3,2,13
Thừa Thiên Huế,6/14/2021,,,,4,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,6/14/2021,18,22,6,1,9
Lào Cai,6/14/2021,0.5,16,1,39,52
Hạ Long,6/14/2021,,3.8,,,
Quảng Ninh,6/14/2021,18,20,2,12,3
Bắc Ninh,6/14/2021,22,48,4,1,7
Bắc Ninh,6/14/2021,13,13,1,6,2
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,4/27/2021,36,23,6,4,
Hà Nội,4/27/2021,60,45,28,13,
Hà Nội,4/12/2021,1,1,27,6,1
Đà Nẵng,6/14/2021,,,11,3,28
Nha Trang,6/14/2021,,,1,1,5
Hà Nội,4/27/2021,41,37,18,17,
Hà Nội,4/27/2021,32,27,7,3,
Hà Nội,4/27/2021,74,63,19,12,
Hà Nội,5/5/2021,18,12,,5,
Cao Bằng,6/14/2021,41,53,,,2
Hồ Chí Minh ,6/21/2021,42,,,,
Hà Nội,6/19/2021,38,,,,
Hà Nội,6/21/2021,59,,6.4,0.1,3.6
Gia Lai,6/21/2021,24,24,6,3,14
Thừa Thiên Huế,6/21/2021,,,,5,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,6/21/2021,52,46,7,2,9
Lào Cai,6/21/2021,0.5,8,2,38,52
Hạ Long,6/21/2021,,,,,
Quảng Ninh,6/21/2021,38,52,12,26,32
Bắc Ninh,6/21/2021,79,73,14,2,1
Bắc Ninh,6/21/2021,94,65,6,7,2
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,4/27/2021,36,23,6,4,
Hà Nội,4/27/2021,60,45,28,13,
Hà Nội,4/12/2021,1,1,27,6,1
Đà Nẵng,6/21/2021,,,11,6,38
Nha Trang,6/15/2021,,,11,5,5
Hà Nội,4/27/2021,41,37,18,17,
Hà Nội,4/27/2021,32,27,7,3,
Hà Nội,4/27/2021,74,63,19,12,
Hà Nội,5/5/2021,18,12,,5,
Cao Bằng,6/21/2021,135,122,1,,2
Hồ Chí Minh ,6/22/2021,42,,,,
Hà Nội,6/22/2021,48,,,,
Hà Nội,6/22/2021,132,,6.4,0.1,3.6
Gia Lai,6/22/2021,24,22,9,4,14
Thừa Thiên Huế,6/22/2021,,,,7,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,6/22/2021,65,55,7,3,9
Lào Cai,6/22/2021,8,8,2,55,52
Hạ Long,6/22/2021,,,,,
Quảng Ninh,6/22/2021,44,56,20,40,32
Bắc Ninh,6/22/2021,119,72,8,3,1
Bắc Ninh,6/22/2021,92,59,9,9,2
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,4/27/2021,36,23,6,4,
Hà Nội,4/27/2021,60,45,28,13,
Hà Nội,4/12/2021,1,1,27,6,1
Đà Nẵng,6/22/2021,,,11,4,42
Nha Trang,6/22/2021,,,8,7,5
Hà Nội,4/27/2021,41,37,18,17,
Hà Nội,4/27/2021,32,27,7,3,
Hà Nội,4/27/2021,74,63,19,12,
Hà Nội,5/5/2021,18,12,,5,
Cao Bằng,6/22/2021,48,66,1,,2
Hồ Chí Minh ,6/23/2021,46,,,,
Hà Nội,6/23/2021,70,,,,
Hà Nội,6/23/2021,68,,6.4,0.2,3.6
Gia Lai,6/23/2021,12,15,7,3,14
Thừa Thiên Huế,6/23/2021,,,,7,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,6/23/2021,38,49,7,3,9
Lào Cai,6/23/2021,8,,2,36,52
Hạ Long,6/23/2021,,,,,
Quảng Ninh,6/23/2021,18,25,13,11,32
Bắc Ninh,6/23/2021,42,55,14,3,1
Bắc Ninh,6/23/2021,22,18,4,7,3
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,4/27/2021,36,23,6,4,
Hà Nội,4/27/2021,60,45,28,13,
Hà Nội,4/12/2021,1,1,27,6,1
Đà Nẵng,6/23/2021,,,11,8,37
Nha Trang,6/23/2021,,,14,7,5
Hà Nội,4/27/2021,41,37,18,17,
Hà Nội,4/27/2021,32,27,7,3,
Hà Nội,4/27/2021,74,63,19,12,
Hà Nội,5/5/2021,18,12,,5,
Cao Bằng,6/23/2021,45,53,1,,2
Hồ Chí Minh ,6/24/2021,55,,,,
Hà Nội,6/24/2021,78,,,,
Hà Nội,6/24/2021,82,,6.4,0.2,3.6
Gia Lai,6/24/2021,15,16,6,3,14
Thừa Thiên Huế,6/24/2021,,,,6,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,6/24/2021,41,44,8,2,9
Lào Cai,6/24/2021,,,1,53,53
Hạ Long,6/24/2021,,,,,
Quảng Ninh,6/24/2021,42,52,21,21,32
Bắc Ninh,6/24/2021,63,74,22,2,1
Bắc Ninh,6/24/2021,53,47,6,6,3
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,4/27/2021,36,23,6,4,
Hà Nội,4/27/2021,60,45,28,13,
Hà Nội,4/12/2021,1,1,27,6,1
Đà Nẵng,6/24/2021,,,10,11,43
Nha Trang,6/24/2021,,,10,4,5
Hà Nội,4/27/2021,41,37,18,17,
Hà Nội,4/27/2021,32,27,7,3,
Hà Nội,4/27/2021,74,63,19,12,
Hà Nội,5/5/2021,18,12,,5,
Cao Bằng,6/24/2021,25,21,1,,2
Hồ Chí Minh ,6/26/2021,50,,,,
Hà Nội,6/26/2021,63,,,,
Hà Nội,6/26/2021,42,,5.1,0.1,4.1
Gia Lai,6/26/2021,20,18,6,2,13
Thừa Thiên Huế,6/26/2021,,,,2,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,6/26/2021,25,31,15,4,9
Lào Cai,6/26/2021,,,1,36,52
Hạ Long,6/26/2021,,,,,
Quảng Ninh,6/26/2021,19,25,5,54,2
Bắc Ninh,6/26/2021,26,28,3,1,1
Bắc Ninh,6/26/2021,28,25,3,6,3
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,4/27/2021,36,23,6,4,
Hà Nội,4/27/2021,60,45,28,13,
Hà Nội,4/12/2021,1,1,27,6,1
Đà Nẵng,6/26/2021,22,19,11,1,27
Nha Trang,6/26/2021,,,3,1,5
Hà Nội,4/27/2021,41,37,18,17,
Hà Nội,4/27/2021,32,27,7,3,
Hà Nội,4/27/2021,74,63,19,12,
Hà Nội,5/5/2021,18,12,,5,
Cao Bằng,6/26/2021,63,124,1,,2
Hồ Chí Minh ,6/28/2021,55,,,,
Hà Nội,6/28/2021,37,,,,
Hà Nội,6/28/2021,38,,5.1,0.1,4.1
Gia Lai,6/28/2021,22,22,3,2,13
Thừa Thiên Huế,6/28/2021,,,,2,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,6/28/2021,16,22,6,1,9
Lào Cai,6/28/2021,,,1,36,53
Hạ Long,6/28/2021,,,,,
Quảng Ninh,6/28/2021,19,33,5,11,2
Bắc Ninh,6/28/2021,29,36,4,1,3
Bắc Ninh,6/28/2021,25,30,2,6,3
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,4/27/2021,36,23,6,4,
Hà Nội,4/27/2021,60,45,28,13,
Hà Nội,4/12/2021,1,1,27,6,1
Đà Nẵng,6/28/2021,14,15,11,1,32
Nha Trang,6/27/2021,,,5,3,5
Hà Nội,4/27/2021,41,37,18,17,
Hà Nội,4/27/2021,32,27,7,3,
Hà Nội,4/27/2021,74,63,19,12,
Hà Nội,5/5/2021,18,12,,5,
Cao Bằng,6/28/2021,75,89,1,,2
Hồ Chí Minh ,6/29/2021,55,,,,
Hà Nội,6/29/2021,38,,,,
Hà Nội,6/29/2021,61,,5.1,0.2,4.1
Gia Lai,6/29/2021,18,19,8,3,14
Thừa Thiên Huế,6/29/2021,,,,5,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,6/28/2021,,,2,36,53
Hạ Long,6/29/2021,,,,,
Quảng Ninh,6/29/2021,24,35,9,13,2
Bắc Ninh,6/29/2021,48,60,10,1,1
Bắc Ninh,6/29/2021,30,37,10,6,3
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,4/27/2021,36,23,6,4,
Hà Nội,4/27/2021,60,45,28,13,
Hà Nội,4/12/2021,1,1,27,6,1
Đà Nẵng,6/29/2021,26,32,11,10,41
Nha Trang,6/27/2021,,,5,3,5
Hà Nội,4/27/2021,41,37,18,17,
Hà Nội,4/27/2021,32,27,7,3,
Hà Nội,4/27/2021,74,63,19,12,
Hà Nội,5/5/2021,18,12,,5,
Cao Bằng,6/29/2021,50,54,1,,2
Hồ Chí Minh ,7/5/2021,30,,,,
Hà Nội,7/5/2021,36,,,,
Hà Nội,7/5/2021,53,,5.1,0.2,4.1
Gia Lai,7/5/2021,15,16,8,3,14
Thừa Thiên Huế,7/5/2021,,,,3,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,7/5/2021,,,1,37,53
Hạ Long,7/5/2021,,,16,,
Quảng Ninh,7/5/2021,10,15,5,15,2
Bắc Ninh,7/5/2021,38,52,4,1,2
Bắc Ninh,7/5/2021,23,20,1,6,3
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,4/27/2021,36,23,6,4,
Hà Nội,4/27/2021,60,45,28,13,
Hà Nội,4/12/2021,1,1,27,6,1
Đà Nẵng,7/5/2021,33,26,11,5,28
Nha Trang,7/5/2021,,,3,2,5
Hà Nội,4/27/2021,41,37,18,17,
Hà Nội,4/27/2021,32,27,7,3,
Hà Nội,4/27/2021,74,63,19,12,
Hà Nội,5/5/2021,18,12,,5,
Cao Bằng,7/5/2021,61,64,,,1
Hồ Chí Minh ,7/6/2021,76,,,,
Hà Nội,7/6/2021,63,,,,
Hà Nội,7/6/2021,55,,5.1,0.2,4.6
Gia Lai,7/6/2021,12,14,6,2,15
Thừa Thiên Huế,7/6/2021,,,,7,
Hà Nội,2/26/2021,1,1,50,12,1
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,7/6/2021,,,1,59,53
Hạ Long,7/6/2021,,,13,,
Quảng Ninh,7/6/2021,24,37,8,1,2
Bắc Ninh,7/6/2021,59,66,14,2,5
Bắc Ninh,7/6/2021,59,51,10,7,3
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,4/27/2021,36,23,6,4,
Hà Nội,4/27/2021,60,45,28,13,
Hà Nội,4/12/2021,1,1,27,6,1
Đà Nẵng,7/6/2021,35,23,10,2,28
Nha Trang,7/6/2021,,,11,8,6
Hà Nội,4/27/2021,41,37,18,17,
Hà Nội,4/27/2021,32,27,7,3,
Hà Nội,4/27/2021,74,63,19,12,
Hà Nội,5/5/2021,18,12,,5,
Cao Bằng,7/6/2021,90,98,,,1
Hồ Chí Minh ,7/14/2021,76,,,,
Hà Nội,7/14/2021,40,,,,
Hà Nội,7/14/2021,65,,12.8,0.1,5.1
Gia Lai,7/14/2021,11,10,2,1,14
Thừa Thiên Huế,7/14/2021,,,,3,
Hà Nội,7/14/2021,58,61,23,7,5
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,7/14/2021,,,2,39,53
Hạ Long,7/14/2021,,,8,,
Quảng Ninh,7/12/2021,14,16,7,1,2
Bắc Ninh,7/14/2021,33,50,3,1,15
Bắc Ninh,7/14/2021,38,30,1,7,3
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,7/14/2021,17,12,6,2,
Hà Nội,7/14/2021,24,21,20,5,
Hà Nội,7/14/2021,42,41,8,3,1
Đà Nẵng,7/14/2021,40,31,11,4,33
Nha Trang,7/14/2021,,,1,1,5
Hà Nội,7/14/2021,57,44,10,6,
Hà Nội,7/14/2021,27,20,5,1,
Hà Nội,7/14/2021,54,42,18,8,
Hà Nội,7/14/2021,31,24,,5,
Cao Bằng,7/14/2021,60,85,1,,1
Hồ Chí Minh ,7/23/2021,46,,,,
Hà Nội,7/23/2021,38,,,,
Hà Nội,7/23/2021,53,,6.4,0.1,4.6
Gia Lai,7/23/2021,10,10,2,1,15
Thừa Thiên Huế,7/23/2021,,,,9,
Hà Nội,7/22/2021,60,56,,17,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,7/23/2021,22,22,2,49,53
Hạ Long,7/23/2021,,,17,,
Quảng Ninh,7/23/2021,11,11,11,1,1
Bắc Ninh,7/23/2021,25,15,4,1,3
Bắc Ninh,7/23/2021,34,24,5,5,3
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,7/22/2021,50,42,13,3,
Hà Nội,7/22/2021,41,28,25,14,
Hà Nội,7/22/2021,73,48,15,9,
Đà Nẵng,7/23/2021,27,29,11,7,32
Nha Trang,7/23/2021,,,2,6,6
Hà Nội,7/22/2021,102,59,16,12,
Hà Nội,7/22/2021,41,28,10,4,
Hà Nội,7/22/2021,91,58,18,7,
Hà Nội,7/22/2021,40,29,,11,
Cao Bằng,7/23/2021,43,48,1,,1
Hồ Chí Minh ,7/25/2021,21,,,,
Hà Nội,7/25/2021,52,,,,
Hà Nội,7/25/2021,95,,7.8,0.1,4.6
Gia Lai,7/25/2021,5,5,2,1,15
Thừa Thiên Huế,7/25/2021,,,,8,
Hà Nội,7/25/2021,74,58,,8,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,7/25/2021,22,1,1,38,53
Hạ Long,7/25/2021,,,13,,
Quảng Ninh,7/25/2021,23,25,17,1,1
Bắc Ninh,7/25/2021,97,59,5,3,3
Bắc Ninh,7/25/2021,103,77,6,6,3
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,7/25/2021,43,37,7,2,
Hà Nội,7/25/2021,50,35,17,4,
Hà Nội,7/25/2021,40,56,7,3,
Đà Nẵng,7/25/2021,16,42,11,2,36
Nha Trang,7/25/2021,,,4,4,6
Hà Nội,7/25/2021,78,69,10,7,
Hà Nội,7/25/2021,53,36,13,3,
Hà Nội,7/25/2021,83,60,11,4,
Hà Nội,7/25/2021,69,44,,5,
Cao Bằng,7/25/2021,90,76,1,,1
Hồ Chí Minh ,7/28/2021,76,,,,
Hà Nội,7/28/2021,36,,,,
Hà Nội,7/28/2021,53,,4.6,0.1,4.6
Gia Lai,7/28/2021,8,8,2,2,14
Thừa Thiên Huế,7/28/2021,,,,3,
Hà Nội,7/28/2021,32,37,,2,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,7/28/2021,22,1,1,43,53
Hạ Long,7/28/2021,,,25,,
Quảng Ninh,7/27/2021,26,31,14,1,1
Bắc Ninh,7/28/2021,68,49,4,2,16
Bắc Ninh,7/28/2021,38,29,1,5,3
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,7/28/2021,18,10,5,1,
Hà Nội,7/28/2021,12,9,13,3,
Hà Nội,7/28/2021,46,34,3,1,
Đà Nẵng,7/28/2021,18,20,11,1,34
Nha Trang,7/28/2021,,,1,1,5
Hà Nội,7/28/2021,43,36,9,5,
Hà Nội,7/28/2021,12,9,4,1,
Hà Nội,7/28/2021,47,36,11,4,
Hà Nội,7/28/2021,18,12,,4,
Cao Bằng,7/28/2021,41,58,1,,14
Hồ Chí Minh ,7/31/2021,25,,,,
Hà Nội,7/30/2021,42,,,,
Hà Nội,7/31/2021,102,,9.6,0.1,5.1
Gia Lai,7/31/2021,6,5,3,2,16
Thừa Thiên Huế,7/29/2021,,,,6,
Hà Nội,7/31/2021,65,56,,3,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,7/31/2021,188,158,1,52,55
Hạ Long,7/31/2021,,,15,,
Quảng Ninh,7/31/2021,18,23,6,1,2
Bắc Ninh,7/31/2021,60,58,16,3,13
Bắc Ninh,7/31/2021,42,36,7,7,3
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,7/31/2021,51,37,11,2,
Hà Nội,7/31/2021,60,46,26,5,
Hà Nội,7/31/2021,55,48,10,3,
Đà Nẵng,7/31/2021,24,22,11,2,41
Nha Trang,7/31/2021,,,5,2,5
Hà Nội,7/31/2021,59,60,18,6,
Hà Nội,7/31/2021,63,43,13,5,
Hà Nội,7/31/2021,68,58,17,3,
Hà Nội,20210731T08:00:00,65,46,,5,
Cao Bằng,7/31/2021,134,108,1,,1
Hồ Chí Minh ,8/2/2021,59,,,,
Hà Nội,8/2/2021,49,,,,
Hà Nội,8/2/2021,72,,7.8,0.1,4.6
Gia Lai,8/2/2021,15,11,3,2,16
Thừa Thiên Huế,7/29/2021,,,,6,
Hà Nội,8/2/2021,40,50,,3,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,8/1/2021,8,8,1,62,54
Hạ Long,8/2/2021,,,16,,
Quảng Ninh,8/2/2021,33,33,13,1,3
Bắc Ninh,8/2/2021,53,45,17,3,9
Bắc Ninh,8/2/2021,70,57,11,8,4
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,8/2/2021,47,34,7,1,
Hà Nội,8/2/2021,28,21,14,4,
Hà Nội,8/2/2021,45,35,5,2,
Đà Nẵng,8/2/2021,27,26,11,3,38
Nha Trang,8/2/2021,,,4,2,6
Hà Nội,8/2/2021,52,60,7,5,
Hà Nội,8/2/2021,47,30,11,3,
Hà Nội,8/2/2021,57,53,11,4,
Hà Nội,8/2/2021,43,29,,4,
Cao Bằng,8/2/2021,52,62,1,,1
Hồ Chí Minh ,8/3/2021,53,,,,
Hà Nội,8/2/2021,42,,,,
Hà Nội,8/3/2021,99,,10.1,0.1,5.1
Gia Lai,8/3/2021,15,12,2,2,16
Thừa Thiên Huế,8/3/2021,,,,11,
Hà Nội,8/3/2021,68,55,,4,
Bắc Ninh,6/28/2021,67,53,12,5,9
Lào Cai,8/3/2021,8,1,1,55,57
Hạ Long,8/3/2021,,,19,,
Quảng Ninh,8/3/2021,35,40,18,1,7
Bắc Ninh,8/3/2021,131,75,13,5,11
Bắc Ninh,8/3/2021,109,77,10,7,3
Hà Nội,4/27/2021,91,65,37,29,
Hà Nội,8/3/2021,65,54,12,1,
Hà Nội,8/3/2021,47,34,19,4,
Hà Nội,8/3/2021,84,55,8,3,
Đà Nẵng,8/3/2021,30,47,11,4,32
Nha Trang,8/3/2021,,,4,2,6
Hà Nội,8/3/2021,91,64,12,5,
Hà Nội,8/3/2021,78,51,10,2,
