Station ID	Date time	PM2.5	PM10	NO2	CO	SO2
13026	9/2/2021 14:00	40	29	15	4	1
1584	9/2/2021 15:00			1	5	6
1585	9/2/2021 15:00			1	1	4
13017	9/2/2021 14:00	43	41	8	6	
13020	9/2/2021 14:00	34	28	7	5	
13013	9/2/2021 14:00	46	44	12	7	
13014	9/2/2021 14:00	42	28		5	
13252	9/2/2021 15:00	30	21			
8767	14/2/2021 8:00 PM	63				
8688	14/2/2021 9:00 PM	0	0		13	0
8641	14/2/2021 8:00 PM	167	0	11.9	0.1	4.6
13012	11/2/2021 16:00	21	15	7	3	1
12488	14/2/2021 9:00 PM	59	51		1	
13251	14/2/2021 6:00 PM	94	67	21	7	2
12976	14/2/2021 8:00 PM	86	49	7	3	2
13250	14/2/2021 9:00 PM	112	44	1	34	20
5507	14/2/2021 8:00 PM	36	19			
11778	14/2/2021 8:00 PM	8	5	8	6	99.7
12958	14/2/2021 9:00 PM	77	48	4	3	3
12957	14/2/2021 9:00 PM			3	4	2
13015	14/2/2021 6:00 PM	91	60	21	14	
13018	14/2/2021 6:00 PM	53	29	8	4	
13019	14/2/2021 6:00 PM	42	34	19	4	
13026	14/2/2021 6:00 PM	93	53	27	20	2
1584	14/2/2021 8:00 PM			1	6	6
1585	14/2/2021 9:00 PM			12	6	4
13017	14/2/2021 6:00 PM	79	57	12	8	
13020	14/2/2021 6:00 PM	50	30	6	5	
13013	14/2/2021 6:00 PM	94	63	16	6	
13014	14/2/2021 6:00 PM	48	37		5	
13252	14/2/2021 9:00 PM	139	124			
8767	15/2/2021 2:00 PM	74				
8688	15/2/2021 2:00 PM					
8641	15/2/2021 2:00 PM	144		14.2	0.1	4.6
13012	11/2/2021 16:00	21	15	7	3	1
12488	15/2/2021 2:00 PM	28	42		1	
13251	15/2/2021 12:00 PM	105	73	26	7	2
12976	15/2/2021 2:00 PM	47	28	4	2	2
13250	15/2/2021 2:00 PM	148	52	3	41	59
5507	15/2/2021 1:00 PM	23	12			
11778	15/2/2021 1:00 PM	6	4	3	5	9
12958	15/2/2021 2:00 PM	57	34	2	2	3
12957	15/2/2021 2:00 PM			1	4	1
13015	15/2/2021 12:00 PM	131	93	30	27	
13018	15/2/2021 12:00 PM	87	54	8	4	
13019	15/2/2021 12:00 PM	98	64	26	4	
13026	15/2/2021 12:00 PM	96	60	29	5	1
1584	15/2/2021 2:00 PM			1	2	6
1585	15/2/2021 2:00 PM			1	2	4
13017	15/2/2021 12:00 PM	111	76	17	13	
13020	15/2/2021 12:00 PM	94	54	10	5	
13013	15/2/2021 12:00 PM	121	85	22	16	
13014	15/2/2021 12:00 PM	101	57		6	
13252	15/2/2021 2:00 PM	85	67			
8767	16/2/2021 1:00 PM	97				
8688	16/2/2021 2:00 PM					
8641	16/2/2021 1:00 PM	153		12.4	0.1	4.6
13012	16/2/2021 2:00 PM	35	24	5	2	1
12488	16/2/2021 2:00 PM	39	53		1	
13251	16/2/2021 12:00 PM	56	53	20	5	1
12976	16/2/2021 2:00 PM	63	38	6	2	3
13250	16/2/2021 2:00 PM	119	32	3	39	76
5507	16/2/2021 1:00 PM	26	14			
11778	16/2/2021 1:00 PM	5	4	3	4	14
12958	16/2/2021 2:00 PM	75	49	7	3	5
12957	16/2/2021 2:00 PM			2	3	1
13015	16/2/2021 12:00 PM	113	79	21	33	
13018	16/2/2021 12:00 PM	88	59	9	3	
13019	16/2/2021 12:00 PM	74	50	17	5	
13026	16/2/2021 12:00 PM	97	56	33	3	1
1584	16/2/2021 1:00 PM			1	2	6
1585	16/2/2021 2:00 PM			1	1	4
13017	16/2/2021 12:00 PM	109	75	21	12	
13020	16/2/2021 12:00 PM	98	63	6	5	
13013	16/2/2021 12:00 PM	111	69	25	2	
13014	16/2/2021 12:00 PM	91	53		5	
13252	16/2/2021 2:00 PM	70	58			
8767	17/2/2021 12:00 PM	74				
8688	17/2/2021 12:00 PM					
8641	17/2/2021 12:00 PM	76		7.4	0.1	4.1
13012	17/2/2021 12:00 PM	37	27	3	1	1
12488	17/2/2021 1:00 PM	26	41		1	
13251	17/2/2021 9:00 AM	83	66	17	4	2
12976	17/2/2021 12:00 PM	36	34	7	2	3
13250	17/2/2021 1:00 PM	139	55	2	38	117
5507	17/2/2021 12:00 PM	41	25			
11778	17/2/2021 11:00 AM	10	7	7	6	22
12958	17/2/2021 12:00 PM	41	27	2	3	5
12957	17/2/2021 12:00 PM			3	4	2
13015	17/2/2021 9:00 AM	87	68	29	23	
13018	17/2/2021 9:00 AM	49	28	9	5	
13019	17/2/2021 9:00 AM	45	33	31	8	
13026	17/2/2021 9:00 AM	78	49	20	6	1
1584	17/2/2021 12:00 PM			1	1	6
1585	17/2/2021 12:00 PM			2	2	4
13017	17/2/2021 9:00 AM	83	66	17	14	
13020	17/2/2021 9:00 AM	44	28	8	6	
13013	17/2/2021 9:00 AM	81	65	23	16	
13014	17/2/2021 9:00 AM	49	31		8	
13252	17/2/2021 1:00 PM	36	51			
8767	18/2/2021 1:00 PM	93				
8688	18/2/2021 1:00 PM					
8641	18/2/2021 1:00 PM	154		4.6	0.1	6.1
13012	18/2/2021 1:00 PM	33	27	1	1	1
12488	18/2/2021 2:00 PM	39	64		1	
13251	18/2/2021 12:00 PM	112	77	31	7	2
12976	18/2/2021 1:00 PM	83	51	8	3	4
13250	18/2/2021 2:00 PM	192	87	2	32	44
5507	18/2/2021 1:00 PM	24	19			
11778	18/2/2021 12:00 PM	5	4	4	5	22
12958	18/2/2021 1:00 PM	101	56	14	5	15
12957	18/2/2021 2:00 PM			9	3	8
13015	18/2/2021 12:00 PM	116	79	30	38	
13018	18/2/2021 12:00 PM	95	51	12	9	
13019	18/2/2021 1:00 PM	98	62	22	5	
13026	18/2/2021 1:00 PM	101	59	14	5	1
1584	18/2/2021 1:00 PM			1	4	6
1585	18/2/2021 1:00 PM			3	2	4
13017	18/2/2021 12:00 PM	114	77	20	13	
13020	18/2/2021 1:00 PM	84	51	8	6	
13013	18/2/2021 1:00 PM	124	86	23	20	
13014	18/2/2021 1:00 PM	105	57		7	
13252	18/2/2021 9:00 AM	78	81			
8767	20/2/2021 8:00 PM	80				
8688	20/2/2021 8:00 PM					
8641	20/2/2021 8:00 PM	165		5.1	0.1	5.6
13012	19/2/2021 4:00 PM	27	21	2	1	1
12488	20/2/2021 8:00 PM	41	70		2	
13251	20/2/2021 7:00 PM	116	61	73	16	2
12976	20/2/2021 8:00 PM	121	66	8	3	4
13250	20/2/2021 8:00 PM	167	72	6	30	12
5507	20/2/2021 8:00 PM	31	17			
11778	20/2/2021 7:00 PM	8	6	12	6	19.2
12958	20/2/2021 8:00 PM	102	63	6	2	4
12957	20/2/2021 8:00 PM			15	3	3
13015	20/2/2021 7:00 PM	120	69	73	55	
13018	20/2/2021 7:00 PM	110	61	39	7	
13019	20/2/2021 7:00 PM	126	73	33	9	
13026	20/2/2021 7:00 PM	100	62	21	3	1
1584	20/2/2021 8:00 PM			1	6	6
1585	20/2/2021 8:00 PM			4	2	4
13017	20/2/2021 7:00 PM	127	71	18	11	
13020	20/2/2021 7:00 PM	113	63	15	9	
13013	20/2/2021 7:00 PM	117	64	13	11	
13014	20/2/2021 7:00 PM	115	61		7	
13252	20/2/2021 8:00 PM	194	177			
8767	22/2/2021 5:00 PM	76				
8688	22/2/2021 5:00 PM					
8641	22/2/2021 5:00 PM	152		5.1	0.1	4.1
13012	19/2/2021 6:00 PM	31	25	1	1	2
12488	22/2/2021 5:00 PM	29	55		2	
13251	22/2/2021 4:00 PM	127	70	38	10	1
12976	22/2/2021 5:00 PM	85	63	11	2	4
13250	22/2/2021 5:00 PM	175	65	6	31	85
5507	22/2/2021 5:00 PM	17	9			
11778	22/2/2021 4:00 PM	4	3	7	5	21.8
12958	22/2/2021 5:00 PM	60	50	4	2	3
12957	22/2/2021 5:00 PM	75	50	7	4	1
13015	22/2/2021 4:00 PM	153	78	53	48	
13018	22/2/2021 4:00 PM	99	56	39	4	
13019	22/2/2021 4:00 PM	95	58	19	5	
13026	22/2/2021 4:00 PM	104	1	20	3	1
1584	22/2/2021 5:00 PM			1	11	7
