Station ID,Date,PM2.5,PM10,NO2,CO,SO2
13026,2/5/2021,104,68,14,1,1
1584,2/5/2021,,,1,8,6
1585,2/5/2021,,,4,2,3
13017,2/5/2021,112,69,14,13,
13020,2/5/2021,78,52,8,4,
13013,2/5/2021,116,80,17,15,
13014,2/5/2021,94,58,,6,
13252,2/5/2021,90,99,,,1
8767,2/6/2021,91,,,,
8688,2/6/2021,,,,,
8641,2/6/2021,139,0,20.6,0.2,5.1
13012,2/6/2021,25,25,4,2,1
12488,2/6/2021,39,69,,2,
13251,2/6/2021,85,60,14,7,2
12976,2/6/2021,75,77,12,4,2
13250,2/6/2021,45,8,2,32,41
5507,2/6/2021,22,13,,,
11778,2/6/2021,5,4,10,4,99
12958,2/6/2021,149,84,6,3,4
12957,2/6/2021,,,6,3,2
13015,2/6/2021,85,67,34,35,
13018,2/6/2021,61,47,8,4,
13019,2/6/2021,64,51,30,9,
13026,2/6/2021,73,62,23,2,1
1584,2/6/2021,,,1,14,6
1585,2/6/2021,,,2,3,4
13017,2/6/2021,85,67,19,11,
13020,2/6/2021,55,40,7,6,
13013,2/6/2021,85,68,23,18,
13014,2/6/2021,59,43,,6,
13252,2/6/2021,162,121,,,1
8767,2/9/2021,102,,,,
8688,2/9/2021,,,,,
8641,2/9/2021,70,0,9.6,0.1,3.6
13012,2/9/2021,24,21,12,6,1
12488,2/9/2021,16,12,,1,
13251,2/9/2021,46,43,25,8,1
12976,2/9/2021,17,9,9,3,2
13250,2/9/2021,91,45,2,44,70
5507,2/6/2021,22,13,,,
11778,2/9/2021,1,1,5,6,3.8
12958,2/9/2021,14,8,1,3,1
12957,2/9/2021,,,3,4,1
13015,2/9/2021,46,44,13,10,
13018,2/9/2021,32,21,9,5,
13019,2/9/2021,38,26,12,5,
13026,2/9/2021,40,29,15,4,1
1584,2/9/2021,,,1,5,6
1585,2/9/2021,,,1,1,4
13017,2/9/2021,43,41,8,6,
13020,2/9/2021,34,28,7,5,
13013,2/9/2021,46,44,12,7,
13014,2/9/2021,42,28,,5,
13252,2/9/2021,30,21,,,
8767,2/14/2021,63,,,,
8688,2/14/2021,0,0,,13,0
8641,2/14/2021,167,0,11.9,0.1,4.6
13012,2/11/2021,21,15,7,3,1
12488,2/14/2021,59,51,,1,
13251,2/14/2021,94,67,21,7,2
12976,2/14/2021,86,49,7,3,2
13250,2/14/2021,112,44,1,34,20
5507,2/14/2021,36,19,,,
11778,2/14/2021,8,5,8,6,99.7
12958,2/14/2021,77,48,4,3,3
12957,2/14/2021,,,3,4,2
13015,2/14/2021,91,60,21,14,
13018,2/14/2021,53,29,8,4,
13019,2/14/2021,42,34,19,4,
13026,2/14/2021,93,53,27,20,2
1584,2/14/2021,,,1,6,6
1585,2/14/2021,,,12,6,4
13017,2/14/2021,79,57,12,8,
13020,2/14/2021,50,30,6,5,
13013,2/14/2021,94,63,16,6,
13014,2/14/2021,48,37,,5,
13252,2/14/2021,139,124,,,
8767,2/15/2021,74,,,,
8688,2/15/2021,,,,,
8641,2/15/2021,144,,14.2,0.1,4.6
13012,2/11/2021,21,15,7,3,1
12488,2/15/2021,28,42,,1,
13251,2/15/2021,105,73,26,7,2
12976,2/15/2021,47,28,4,2,2
13250,2/15/2021,148,52,3,41,59
5507,2/15/2021,23,12,,,
11778,2/15/2021,6,4,3,5,9
12958,2/15/2021,57,34,2,2,3
12957,2/15/2021,,,1,4,1
13015,2/15/2021,131,93,30,27,
13018,2/15/2021,87,54,8,4,
13019,2/15/2021,98,64,26,4,
13026,2/15/2021,96,60,29,5,1
1584,2/15/2021,,,1,2,6
1585,2/15/2021,,,1,2,4
13017,2/15/2021,111,76,17,13,
13020,2/15/2021,94,54,10,5,
13013,2/15/2021,121,85,22,16,
13014,2/15/2021,101,57,,6,
13252,2/15/2021,85,67,,,
8767,2/16/2021,97,,,,
8688,2/16/2021,,,,,
8641,2/16/2021,153,,12.4,0.1,4.6
13012,2/16/2021,35,24,5,2,1
12488,2/16/2021,39,53,,1,
13251,2/16/2021,56,53,20,5,1
12976,2/16/2021,63,38,6,2,3
13250,2/16/2021,119,32,3,39,76
5507,2/16/2021,26,14,,,
11778,2/16/2021,5,4,3,4,14
12958,2/16/2021,75,49,7,3,5
12957,2/16/2021,,,2,3,1
13015,2/16/2021,113,79,21,33,
13018,2/16/2021,88,59,9,3,
13019,2/16/2021,74,50,17,5,
13026,2/16/2021,97,56,33,3,1
1584,2/16/2021,,,1,2,6
1585,2/16/2021,,,1,1,4
13017,2/16/2021,109,75,21,12,
13020,2/16/2021,98,63,6,5,
13013,2/16/2021,111,69,25,2,
13014,2/16/2021,91,53,,5,
13252,2/16/2021,70,58,,,
8767,2/17/2021,74,,,,
8688,2/17/2021,,,,,
8641,2/17/2021,76,,7.4,0.1,4.1
13012,2/17/2021,37,27,3,1,1
12488,2/17/2021,26,41,,1,
13251,2/17/2021,83,66,17,4,2
12976,2/17/2021,36,34,7,2,3
13250,2/17/2021,139,55,2,38,117
5507,2/17/2021,41,25,,,
11778,2/17/2021,10,7,7,6,22
12958,2/17/2021,41,27,2,3,5
12957,2/17/2021,,,3,4,2
13015,2/17/2021,87,68,29,23,
