City,Date time,PM2.5,PM10,NO2,CO,SO2
Bắc Ninh,4/29/2021 17:00,91,108,11,3,7
Lào Cai,4/29/2021 17:00,29,1,2,44,66
Hạ Long,4/29/2021 16:00,,,,,
Quảng Ninh,3/22/2021 13:00,45,50,4,98,10
Bắc Ninh,4/29/2021 17:00,30,28,3,2,2
Bắc Ninh,4/29/2021 17:00,44,38,5,3,2
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,4/27/2021 16:00,36,23,6,4,
Hà Nội,4/27/2021 16:00,60,45,28,13,
Hà Nội,4/12/2021 5:00,1,1,27,6,1
Đà Nẵng,4/29/2021 17:00,40,34,11,3,24
Nha Trang,4/29/2021 17:00,,,1,1,5
Hà Nội,4/27/2021 16:00,41,37,18,17,
Hà Nội,4/27/2021 16:00,32,27,7,3,
Hà Nội,4/27/2021 16:00,74,63,19,12,
Hà Nội,4/29/2021 14:00,27,19,,5,
Cao Bằng,4/29/2021 17:00,57,107,1,,2
Hồ Chí Minh ,5/5/2021 7:00,91,,,,
Hà Nội,5/5/2021 8:00,33,,,,
Hà Nội,5/5/2021 7:00,74,,8.7,0.2,4.6
Gia Lai,5/5/2021 7:00,25,17,4,2,12
Thừa Thiên Huế,5/5/2021 8:00,,,,8,
Hà Nội,2/26/2021 15:00,1,1,50,12,1
Bắc Ninh,5/5/2021 7:00,153,85,12,3,12
Lào Cai,5/5/2021 3:00,,1,3,34,53
Hạ Long,4/29/2021 17:00,,,,,
Quảng Ninh,3/22/2021 13:00,45,50,4,98,10
Bắc Ninh,5/5/2021 7:00,48,51,4,1,2
Bắc Ninh,5/5/2021 7:00,49,39,6,4,1
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,4/27/2021 16:00,36,23,6,4,
Hà Nội,4/27/2021 16:00,60,45,28,13,
Hà Nội,4/12/2021 5:00,1,1,27,6,1
Đà Nẵng,5/4/2021 23:00,58,33,11,1,24
Nha Trang,5/5/2021 8:00,,,7,7,5
Hà Nội,4/27/2021 16:00,41,37,18,17,
Hà Nội,4/27/2021 16:00,32,27,7,3,
Hà Nội,4/27/2021 16:00,74,63,19,12,
Hà Nội,5/4/2021 20:00,41,29,,5,
Cao Bằng,5/5/2021 3:00,40,37,1,,2
Hồ Chí Minh ,5/10/2021 12:00,55,,,,
Hà Nội,5/10/2021 12:00,53,,,,
Hà Nội,5/10/2021 12:00,112,,6.4,0.1,4.1
Gia Lai,5/10/2021 13:00,40,31,7,3,12
Thừa Thiên Huế,5/10/2021 13:00,,,,7,
Hà Nội,2/26/2021 15:00,1,1,50,12,1
Bắc Ninh,5/10/2021 12:00,76,68,7,1,7
Lào Cai,5/10/2021 13:00,,1,1,34,55
Hạ Long,4/29/2021 17:00,,,,,
Quảng Ninh,3/22/2021 13:00,45,50,4,98,10
Bắc Ninh,5/10/2021 1:00,39,39,13,1,1
Bắc Ninh,5/10/2021 1:00,37,34,2,6,1
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,4/27/2021 16:00,36,23,6,4,
Hà Nội,4/27/2021 16:00,60,45,28,13,
Hà Nội,4/12/2021 5:00,1,1,27,6,1
Đà Nẵng,5/5/2021 1:00,58,33,10,1,23
Nha Trang,5/10/2021 12:00,,,1,1,5
Hà Nội,4/27/2021 16:00,41,37,18,17,
Hà Nội,4/27/2021 16:00,32,27,7,3,
Hà Nội,4/27/2021 16:00,74,63,19,12,
Hà Nội,5/5/2021 14:00,18,12,,5,
Cao Bằng,5/10/2021 13:00,87,113,1,,2
Hồ Chí Minh ,5/11/2021 13:00,70,,,,
Hà Nội,5/11/2021 13:00,58,,,,
Hà Nội,5/11/2021 13:00,117,,7.4,0.1,3.6
Gia Lai,5/11/2021 13:00,52,37,6,3,12
Thừa Thiên Huế,5/11/2021 13:00,,,,6,
Hà Nội,2/26/2021 15:00,0,0,0,0,0
Bắc Ninh,5/11/2021 5:00,50,39,5,1,7
Lào Cai,5/10/2021 16:00,,1,1,34,55
Hạ Long,4/29/2021 17:00,,,,,
Quảng Ninh,3/22/2021 13:00,45,50,4,98,10
Bắc Ninh,5/11/2021 2:00,41,39,5,1,1
Bắc Ninh,5/11/2021 5:00,56,40,2,7,1
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,4/27/2021 16:00,36,23,6,4,
Hà Nội,4/27/2021 16:00,60,45,28,13,
Hà Nội,4/12/2021 5:00,1,1,27,6,1
Đà Nẵng,5/5/2021 1:00,58,33,10,1,23
Nha Trang,5/11/2021 13:00,,,1,1,5
Hà Nội,4/27/2021 16:00,41,37,18,17,
Hà Nội,4/27/2021 16:00,32,27,7,3,
Hà Nội,4/27/2021 16:00,74,63,19,12,
Hà Nội,5/5/2021 14:00,18,12,,5,
Cao Bằng,5/11/2021 13:00,73,73,1,,2
Hồ Chí Minh ,5/13/2021 18:00,57,,,,
Hà Nội,5/11/2021 22:00,14,,,,
Hà Nội,5/13/2021 17:00,61,,7.4,0.2,4.6
Gia Lai,5/13/2021 18:00,33,30,5,2,12
Thừa Thiên Huế,5/13/2021 18:00,,,,7,
Hà Nội,2/26/2021 15:00,0,0,0,0,0
Bắc Ninh,5/13/2021 13:00,70,63,12,2,7
Lào Cai,5/13/2021 18:00,21,1,2,34,53
Hạ Long,4/29/2021 17:00,,,,,
Quảng Ninh,3/22/2021 13:00,45,50,4,98,10
Bắc Ninh,5/13/2021 10:00,50,59,15,2,1
Bắc Ninh,5/13/2021 17:00,30,26,6,6,1
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,4/27/2021 16:00,36,23,6,4,
Hà Nội,4/27/2021 16:00,60,45,28,13,
Hà Nội,4/12/2021 5:00,1,1,27,6,1
Đà Nẵng,5/5/2021 1:00,58,33,10,1,23
Nha Trang,5/13/2021 18:00,,,1,1,5
Hà Nội,4/27/2021 16:00,41,37,18,17,
Hà Nội,4/27/2021 16:00,32,27,7,3,
Hà Nội,4/27/2021 16:00,74,63,19,12,
Hà Nội,5/5/2021 14:00,18,12,,5,
Cao Bằng,5/13/2021 18:00,75,103,1,,2
Hồ Chí Minh ,5/15/2021 12:00,38,,,,
Hà Nội,5/14/2021 20:00,89,,,,
Hà Nội,5/15/2021 13:00,97,,6,0.1,4.1
Gia Lai,5/15/2021 13:00,11,13,5,2,12
Thừa Thiên Huế,5/15/2021 13:00,,,,5,
Hà Nội,2/26/2021 15:00,0,0,0,0,0
Bắc Ninh,5/15/2021 13:00,44,49,5,1,7
Lào Cai,5/15/2021 13:00,21,1,1,32,53
Hạ Long,4/29/2021 17:00,,,,,
Quảng Ninh,3/22/2021 13:00,45,50,4,98,10
Bắc Ninh,5/15/2021 3:00,23,25,6,1,4
Bắc Ninh,5/15/2021 6:00,23,23,2,7,1
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,4/27/2021 16:00,36,23,6,4,
Hà Nội,4/27/2021 16:00,60,45,28,13,
Hà Nội,4/12/2021 5:00,1,1,27,6,1
Đà Nẵng,5/5/2021 1:00,58,33,10,1,23
Nha Trang,5/15/2021 12:00,,,1,1,5
Hà Nội,4/27/2021 16:00,41,37,18,17,
Hà Nội,4/27/2021 16:00,32,27,7,3,
Hà Nội,4/27/2021 16:00,74,63,19,12,
Hà Nội,5/5/2021 14:00,18,12,,5,
Cao Bằng,5/15/2021 13:00,76,84,1,,2
Hồ Chí Minh ,5/18/2021 8:00,61,,,,
Hà Nội,5/18/2021 9:00,45,,,,
Hà Nội,5/18/2021 9:00,53,,6.4,0.1,4.6
Gia Lai,5/18/2021 9:00,20,20,6,2,13
Thừa Thiên Huế,5/18/2021 9:00,,,,7,
Hà Nội,2/26/2021 15:00,0,0,0,0,0
Bắc Ninh,5/18/2021 1:00,19,18,5,2,7
Lào Cai,5/18/2021 9:00,2,1,2,47,52
Hạ Long,4/29/2021 17:00,,,,,
Quảng Ninh,3/22/2021 13:00,45,50,4,98,10
Bắc Ninh,5/18/2021 2:00,23,24,7,1,7
Bắc Ninh,5/18/2021 9:00,24,23,1,7,2
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,4/27/2021 16:00,36,23,6,4,
Hà Nội,4/27/2021 16:00,60,45,28,13,
Hà Nội,4/12/2021 5:00,1,1,27,6,1
Đà Nẵng,5/5/2021 1:00,58,33,10,1,23
Nha Trang,5/18/2021 9:00,,,5,3,5
Hà Nội,4/27/2021 16:00,41,37,18,17,
Hà Nội,4/27/2021 16:00,32,27,7,3,
Hà Nội,4/27/2021 16:00,74,63,19,12,
Hà Nội,5/5/2021 14:00,18,12,,5,
Cao Bằng,5/18/2021 9:00,105,91,1,,2
Hồ Chí Minh ,5/19/2021 14:00,85,,,,
Hà Nội,5/19/2021 15:00,55,,,,
Hà Nội,5/19/2021 14:00,93,,6.4,0.1,4.1
Gia Lai,5/19/2021 15:00,11,12,8,2,12
Thừa Thiên Huế,5/19/2021 15:00,,,,3,
Hà Nội,2/26/2021 15:00,0,0,0,0,0
Bắc Ninh,5/19/2021 15:00,50,55,5,2,7
Lào Cai,5/13/2021 18:00,2,1,1,35,55
Hạ Long,4/29/2021 17:00,,,,,
Quảng Ninh,5/19/2021 13:00,5,5,3,2,1
Bắc Ninh,5/19/2021 15:00,46,50,5,1,18
Bắc Ninh,5/13/2021 17:00,51,40,1,6,2
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,4/27/2021 16:00,36,23,6,4,
Hà Nội,4/27/2021 16:00,60,45,28,13,
Hà Nội,4/12/2021 5:00,1,1,27,6,1
Đà Nẵng,5/5/2021 1:00,58,33,10,1,23
Nha Trang,5/19/2021 14:00,,,1,1,5
Hà Nội,4/27/2021 16:00,41,37,18,17,
Hà Nội,4/27/2021 16:00,32,27,7,3,
Hà Nội,4/27/2021 16:00,74,63,19,12,
Hà Nội,5/5/2021 14:00,18,12,,5,
Cao Bằng,5/19/2021 15:00,100,142,1,,2
Hồ Chí Minh ,5/20/2021 13:00,53,,,,
Hà Nội,5/20/2021 13:00,57,,,,
Hà Nội,5/20/2021 14:00,85,,7.4,0.1,4.1
Gia Lai,5/20/2021 14:00,15,14,8,2,12
Thừa Thiên Huế,5/20/2021 14:00,,,,4,
Hà Nội,2/26/2021 15:00,0,0,0,0,0
Bắc Ninh,5/20/2021 11:00,53,57,9,2,7
Lào Cai,5/20/2021 14:00,2,1,6,34,53
Hạ Long,4/29/2021 17:00,,,,,
Quảng Ninh,5/20/2021 12:00,7,6,3,3,1
Bắc Ninh,5/20/2021 11:00,60,57,5,1,10
Bắc Ninh,5/20/2021 12:00,56,44,2,7,1
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,4/27/2021 16:00,36,23,6,4,
Hà Nội,4/27/2021 16:00,60,45,28,13,
Hà Nội,4/12/2021 5:00,1,1,27,6,1
Đà Nẵng,5/5/2021 1:00,58,33,10,1,23
Nha Trang,5/20/2021 14:00,,,4,2,5
Hà Nội,4/27/2021 16:00,41,37,18,17,
Hà Nội,4/27/2021 16:00,32,27,7,3,
Hà Nội,4/27/2021 16:00,74,63,19,12,
Hà Nội,5/5/2021 14:00,18,12,,5,
Cao Bằng,5/20/2021 14:00,75,83,1,,1
Hồ Chí Minh ,5/21/2021 15:00,57,,,,
Hà Nội,5/21/2021 16:00,48,,,,
Hà Nội,5/21/2021 16:00,102,,6.4,0.1,4.6
Gia Lai,5/21/2021 16:00,36,31,14,4,12
Thừa Thiên Huế,5/21/2021 16:00,,,,3,
Hà Nội,2/26/2021 15:00,1,1,50,12,1
Bắc Ninh,5/20/2021 16:00,63,69,13,3,7
Lào Cai,5/21/2021 16:00,2,1,2,34,52
Hạ Long,4/29/2021 17:00,,99.5,,,
Quảng Ninh,5/21/2021 14:00,6,6,3,4,1
Bắc Ninh,5/20/2021 16:00,74,69,12,2,20
Bắc Ninh,5/20/2021 16:00,66,51,1,6,2
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,4/27/2021 16:00,36,23,6,4,
Hà Nội,4/27/2021 16:00,60,45,28,13,
Hà Nội,4/12/2021 5:00,1,1,27,6,1
Đà Nẵng,5/21/2021 16:00,25,21,11,1,25
Nha Trang,5/21/2021 15:00,,,5,2,5
Hà Nội,4/27/2021 16:00,41,37,18,17,
Hà Nội,4/27/2021 16:00,32,27,7,3,
Hà Nội,4/27/2021 16:00,74,63,19,12,
Hà Nội,5/5/2021 14:00,18,12,,5,
Cao Bằng,5/21/2021 16:00,79,97,1,,1
Hồ Chí Minh ,5/24/2021 9:00,57,,,,
Hà Nội,5/24/2021 9:00,57,,,,
Hà Nội,5/24/2021 10:00,78,,6.9,0.1,4.6
Gia Lai,5/24/2021 10:00,22,27,10,3,13
Thừa Thiên Huế,5/24/2021 10:00,,,,10,
Hà Nội,2/26/2021 15:00,1,1,50,12,1
Bắc Ninh,5/24/2021 9:00,95,57,8,5,7
Lào Cai,5/24/2021 8:00,27,26,2,45,52
Hạ Long,4/29/2021 17:00,,99.5,,,
Quảng Ninh,5/24/2021 8:00,7,9,8,7,1
Bắc Ninh,5/24/2021 9:00,29,38,2,2,1
Bắc Ninh,5/24/2021 10:00,43,33,2,7,3
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,4/27/2021 16:00,36,23,6,4,
Hà Nội,4/27/2021 16:00,60,45,28,13,
Hà Nội,4/12/2021 5:00,1,1,27,6,1
Đà Nẵng,5/24/2021 10:00,49,31,10,6,25
Nha Trang,5/24/2021 9:00,,,3,1,5
Hà Nội,4/27/2021 16:00,41,37,18,17,
Hà Nội,4/27/2021 16:00,32,27,7,3,
Hà Nội,4/27/2021 16:00,74,63,19,12,
Hà Nội,5/5/2021 14:00,18,12,,5,
Cao Bằng,5/24/2021 10:00,56,69,1,,1
Hồ Chí Minh ,5/26/2021 8:00,46,,,,
Hà Nội,5/26/2021 8:00,90,,,,
Hà Nội,5/26/2021 8:00,159,,7.4,0.2,5.1
Gia Lai,5/26/2021 8:00,17,17,8,3,14
Thừa Thiên Huế,5/26/2021 8:00,,,,5,
Hà Nội,2/26/2021 15:00,1,1,50,12,1
Bắc Ninh,5/26/2021 8:00,68,46,5,5,8
Lào Cai,5/26/2021 8:00,27,1,3,40,56
Hạ Long,4/29/2021 17:00,,99.5,,,
Quảng Ninh,5/26/2021 7:00,2,3,5,10,7
Bắc Ninh,5/26/2021 9:00,66,55,19,4,1
Bắc Ninh,5/26/2021 9:00,79,51,4,5,2
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,4/27/2021 16:00,36,23,6,4,
Hà Nội,4/27/2021 16:00,60,45,28,13,
Hà Nội,4/12/2021 5:00,1,1,27,6,1
Đà Nẵng,5/26/2021 9:00,43,31,11,7,26
Nha Trang,5/26/2021 9:00,,,8,8,5
Hà Nội,4/27/2021 16:00,41,37,18,17,
Hà Nội,4/27/2021 16:00,32,27,7,3,
Hà Nội,4/27/2021 16:00,74,63,19,12,
Hà Nội,5/5/2021 14:00,18,12,,5,
Cao Bằng,5/26/2021 8:00,88,89,1,,1
Hồ Chí Minh ,5/28/2021 8:00,63,,,,
Hà Nội,5/28/2021 7:00,72,,,,
Hà Nội,5/28/2021 7:00,97,,6.9,0.2,5.1
Gia Lai,5/28/2021 7:00,19,15,10,4,14
Thừa Thiên Huế,5/28/2021 7:00,,,,5,
Hà Nội,2/26/2021 15:00,1,1,50,12,1
Bắc Ninh,5/28/2021 7:00,59,43,7,3,8
Lào Cai,5/28/2021 7:00,27,1,1,42,84
Hạ Long,4/29/2021 17:00,,99.5,,,
Quảng Ninh,5/28/2021 6:00,2,3,4,13,1
Bắc Ninh,5/28/2021 8:00,39,52,9,2,1
Bắc Ninh,5/28/2021 7:00,46,37,6,7,2
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,4/27/2021 16:00,36,23,6,4,
Hà Nội,4/27/2021 16:00,60,45,28,13,
Hà Nội,4/12/2021 5:00,1,1,27,6,1
Đà Nẵng,5/28/2021 7:00,56,37,10,5,27
Nha Trang,5/28/2021 8:00,,,7,6,5
Hà Nội,4/27/2021 16:00,41,37,18,17,
Hà Nội,4/27/2021 16:00,32,27,7,3,
Hà Nội,4/27/2021 16:00,74,63,19,12,
Hà Nội,5/5/2021 14:00,18,12,,5,
Cao Bằng,5/28/2021 7:00,70,65,1,,1
Hồ Chí Minh ,5/30/2021 12:00,53,,,,
Hà Nội,5/30/2021 13:00,54,,,,
Hà Nội,5/30/2021 13:00,102,,6.9,0.1,4.6
Gia Lai,5/30/2021 13:00,20,18,4,1,12
Thừa Thiên Huế,5/30/2021 13:00,,,,3,
Hà Nội,2/26/2021 15:00,1,1,50,12,1
Bắc Ninh,5/30/2021 13:00,40,37,6,1,11
Lào Cai,5/30/2021 13:00,27,1,2,37,53
Hạ Long,4/29/2021 17:00,,99.5,,,
Quảng Ninh,5/30/2021 11:00,8,10,25,11,2
Bắc Ninh,5/30/2021 13:00,58,58,7,1,9
Bắc Ninh,5/30/2021 13:00,65,53,2,7,3
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,4/27/2021 16:00,36,23,6,4,
Hà Nội,4/27/2021 16:00,60,45,28,13,
Hà Nội,4/12/2021 5:00,1,1,27,6,1
Đà Nẵng,5/30/2021 13:00,45,33,11,1,24
Nha Trang,5/30/2021 12:00,,,1,1,5
Hà Nội,4/27/2021 16:00,41,37,18,17,
Hà Nội,4/27/2021 16:00,32,27,7,3,
Hà Nội,4/27/2021 16:00,74,63,19,12,
Hà Nội,5/5/2021 14:00,18,12,,5,
Cao Bằng,5/30/2021 13:00,65,71,1,,1
Hồ Chí Minh ,6/12/2021 12:00,46,,,,
Hà Nội,6/12/2021 13:00,65,,,,
Hà Nội,6/12/2021 13:00,65,,7.4,0.1,5.1
Gia Lai,6/12/2021 13:00,6,5,3,1,14
Thừa Thiên Huế,6/12/2021 13:00,,,,11,
Hà Nội,2/26/2021 15:00,1,1,50,12,1
Bắc Ninh,6/12/2021 13:00,52,39,7,1,8
Lào Cai,6/12/2021 13:00,99.5,191,1,43,52
Hạ Long,6/12/2021 13:00,,0.5,,,
Quảng Ninh,6/12/2021 12:00,12,16,2,12,5
Bắc Ninh,6/12/2021 13:00,47,40,5,1,8
Bắc Ninh,6/12/2021 13:00,57,42,2,6,1
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,4/27/2021 16:00,36,23,6,4,
Hà Nội,4/27/2021 16:00,60,45,28,13,
Hà Nội,4/12/2021 5:00,1,1,27,6,1
Đà Nẵng,6/12/2021 13:00,26,20,10,4,29
Nha Trang,6/12/2021 13:00,,,2,2,5
Hà Nội,4/27/2021 16:00,41,37,18,17,
Hà Nội,4/27/2021 16:00,32,27,7,3,
Hà Nội,4/27/2021 16:00,74,63,19,12,
Hà Nội,5/5/2021 14:00,18,12,,5,
Cao Bằng,6/12/2021 13:00,52,61,,,2
Hồ Chí Minh ,6/13/2021 8:00,68,,,,
Hà Nội,6/13/2021 8:00,61,,,,
Hà Nội,6/13/2021 8:00,21,,6.4,0.1,5.1
Gia Lai,6/13/2021 0:00,6,5,2,1,14
Thừa Thiên Huế,6/13/2021 8:00,,,,8,
Hà Nội,2/26/2021 15:00,1,1,50,12,1
Bắc Ninh,6/13/2021 8:00,13,13,4,1,9
Lào Cai,6/13/2021 6:00,2.6,16,1,45,52
Hạ Long,6/13/2021 8:00,,3.8,,,
Quảng Ninh,6/13/2021 7:00,13,14,9,9,5
Bắc Ninh,6/13/2021 7:00,8,14,3,1,2
Bắc Ninh,6/13/2021 8:00,9,12,3,6,2
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,4/27/2021 16:00,36,23,6,4,
Hà Nội,4/27/2021 16:00,60,45,28,13,
Hà Nội,4/12/2021 5:00,1,1,27,6,1
Đà Nẵng,6/13/2021 8:00,,,11,9,28
Nha Trang,6/13/2021 8:00,,,8,7,5
Hà Nội,4/27/2021 16:00,41,37,18,17,
Hà Nội,4/27/2021 16:00,32,27,7,3,
Hà Nội,4/27/2021 16:00,74,63,19,12,
Hà Nội,5/5/2021 14:00,18,12,,5,
Cao Bằng,6/13/2021 8:00,53,55,,,2
Hồ Chí Minh ,6/14/2021 13:00,38,,,,
Hà Nội,6/14/2021 13:00,38,,,,
Hà Nội,6/14/2021 13:00,53,,7.4,0.1,5.6
Gia Lai,6/14/2021 14:00,14,14,3,2,13
Thừa Thiên Huế,6/14/2021 14:00,,,,4,
Hà Nội,2/26/2021 15:00,1,1,50,12,1
Bắc Ninh,6/14/2021 13:00,18,22,6,1,9
Lào Cai,6/14/2021 14:00,0.5,16,1,39,52
Hạ Long,6/14/2021 14:00,,3.8,,,
Quảng Ninh,6/14/2021 12:00,18,20,2,12,3
Bắc Ninh,6/14/2021 13:00,22,48,4,1,7
Bắc Ninh,6/14/2021 14:00,13,13,1,6,2
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,4/27/2021 16:00,36,23,6,4,
Hà Nội,4/27/2021 16:00,60,45,28,13,
Hà Nội,4/12/2021 5:00,1,1,27,6,1
Đà Nẵng,6/14/2021 14:00,,,11,3,28
Nha Trang,6/14/2021 13:00,,,1,1,5
Hà Nội,4/27/2021 16:00,41,37,18,17,
Hà Nội,4/27/2021 16:00,32,27,7,3,
Hà Nội,4/27/2021 16:00,74,63,19,12,
Hà Nội,5/5/2021 14:00,18,12,,5,
Cao Bằng,6/14/2021 14:00,41,53,,,2
Hồ Chí Minh ,6/21/2021 9:00,42,,,,
Hà Nội,6/19/2021 7:00,38,,,,
Hà Nội,6/21/2021 9:00,59,,6.4,0.1,3.6
Gia Lai,6/21/2021 10:00,24,24,6,3,14
Thừa Thiên Huế,6/21/2021 10:00,,,,5,
Hà Nội,2/26/2021 15:00,1,1,50,12,1
Bắc Ninh,6/21/2021 9:00,52,46,7,2,9
Lào Cai,6/21/2021 9:00,0.5,8,2,38,52
Hạ Long,6/21/2021 9:00,,,,,
Quảng Ninh,6/21/2021 6:00,38,52,12,26,32
Bắc Ninh,6/21/2021 9:00,79,73,14,2,1
Bắc Ninh,6/21/2021 10:00,94,65,6,7,2
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,4/27/2021 16:00,36,23,6,4,
Hà Nội,4/27/2021 16:00,60,45,28,13,
Hà Nội,4/12/2021 5:00,1,1,27,6,1
Đà Nẵng,6/21/2021 10:00,,,11,6,38
Nha Trang,6/15/2021 21:00,,,11,5,5
Hà Nội,4/27/2021 16:00,41,37,18,17,
Hà Nội,4/27/2021 16:00,32,27,7,3,
Hà Nội,4/27/2021 16:00,74,63,19,12,
Hà Nội,5/5/2021 14:00,18,12,,5,
Cao Bằng,6/21/2021 10:00,135,122,1,,2
Hồ Chí Minh ,6/22/2021 7:00,42,,,,
Hà Nội,6/22/2021 7:00,48,,,,
Hà Nội,6/22/2021 8:00,132,,6.4,0.1,3.6
Gia Lai,6/22/2021 8:00,24,22,9,4,14
Thừa Thiên Huế,6/22/2021 8:00,,,,7,
Hà Nội,2/26/2021 15:00,1,1,50,12,1
Bắc Ninh,6/22/2021 8:00,65,55,7,3,9
Lào Cai,6/22/2021 8:00,8,8,2,55,52
Hạ Long,6/22/2021 8:00,,,,,
Quảng Ninh,6/22/2021 6:00,44,56,20,40,32
Bắc Ninh,6/22/2021 8:00,119,72,8,3,1
Bắc Ninh,6/22/2021 8:00,92,59,9,9,2
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,4/27/2021 16:00,36,23,6,4,
Hà Nội,4/27/2021 16:00,60,45,28,13,
Hà Nội,4/12/2021 5:00,1,1,27,6,1
Đà Nẵng,6/22/2021 8:00,,,11,4,42
Nha Trang,6/22/2021 7:00,,,8,7,5
Hà Nội,4/27/2021 16:00,41,37,18,17,
Hà Nội,4/27/2021 16:00,32,27,7,3,
Hà Nội,4/27/2021 16:00,74,63,19,12,
Hà Nội,5/5/2021 14:00,18,12,,5,
Cao Bằng,6/22/2021 8:00,48,66,1,,2
Hồ Chí Minh ,6/23/2021 8:00,46,,,,
Hà Nội,6/23/2021 8:00,70,,,,
Hà Nội,6/23/2021 8:00,68,,6.4,0.2,3.6
Gia Lai,6/23/2021 8:00,12,15,7,3,14
Thừa Thiên Huế,6/23/2021 8:00,,,,7,
Hà Nội,2/26/2021 15:00,1,1,50,12,1
Bắc Ninh,6/23/2021 8:00,38,49,7,3,9
Lào Cai,6/23/2021 8:00,8,,2,36,52
Hạ Long,6/23/2021 8:00,,,,,
Quảng Ninh,6/23/2021 7:00,18,25,13,11,32
Bắc Ninh,6/23/2021 8:00,42,55,14,3,1
Bắc Ninh,6/23/2021 8:00,22,18,4,7,3
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,4/27/2021 16:00,36,23,6,4,
Hà Nội,4/27/2021 16:00,60,45,28,13,
Hà Nội,4/12/2021 5:00,1,1,27,6,1
Đà Nẵng,6/23/2021 8:00,,,11,8,37
Nha Trang,6/23/2021 8:00,,,14,7,5
Hà Nội,4/27/2021 16:00,41,37,18,17,
Hà Nội,4/27/2021 16:00,32,27,7,3,
Hà Nội,4/27/2021 16:00,74,63,19,12,
Hà Nội,5/5/2021 14:00,18,12,,5,
Cao Bằng,6/23/2021 8:00,45,53,1,,2
Hồ Chí Minh ,6/24/2021 9:00,55,,,,
Hà Nội,6/24/2021 9:00,78,,,,
Hà Nội,6/24/2021 9:00,82,,6.4,0.2,3.6
Gia Lai,6/24/2021 9:00,15,16,6,3,14
Thừa Thiên Huế,6/24/2021 9:00,,,,6,
Hà Nội,2/26/2021 15:00,1,1,50,12,1
Bắc Ninh,6/24/2021 9:00,41,44,8,2,9
Lào Cai,6/24/2021 9:00,,,1,53,53
Hạ Long,6/24/2021 9:00,,,,,
Quảng Ninh,6/24/2021 8:00,42,52,21,21,32
Bắc Ninh,6/24/2021 9:00,63,74,22,2,1
Bắc Ninh,6/24/2021 9:00,53,47,6,6,3
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,4/27/2021 16:00,36,23,6,4,
Hà Nội,4/27/2021 16:00,60,45,28,13,
Hà Nội,4/12/2021 5:00,1,1,27,6,1
Đà Nẵng,6/24/2021 9:00,,,10,11,43
Nha Trang,6/24/2021 9:00,,,10,4,5
Hà Nội,4/27/2021 16:00,41,37,18,17,
Hà Nội,4/27/2021 16:00,32,27,7,3,
Hà Nội,4/27/2021 16:00,74,63,19,12,
Hà Nội,5/5/2021 14:00,18,12,,5,
Cao Bằng,6/24/2021 9:00,25,21,1,,2
Hồ Chí Minh ,6/26/2021 16:00,50,,,,
Hà Nội,6/26/2021 16:00,63,,,,
Hà Nội,6/26/2021 16:00,42,,5.1,0.1,4.1
Gia Lai,6/26/2021 16:00,20,18,6,2,13
Thừa Thiên Huế,6/26/2021 16:00,,,,2,
Hà Nội,2/26/2021 15:00,1,1,50,12,1
Bắc Ninh,6/26/2021 16:00,25,31,15,4,9
Lào Cai,6/26/2021 17:00,,,1,36,52
Hạ Long,6/26/2021 16:00,,,,,
Quảng Ninh,6/26/2021 14:00,19,25,5,54,2
Bắc Ninh,6/26/2021 16:00,26,28,3,1,1
Bắc Ninh,6/26/2021 16:00,28,25,3,6,3
Hà Nội,4/27/2021 15:00,91,65,37,29,
Hà Nội,4/27/2021 16:00,36,23,6,4,
Hà Nội,4/27/2021 16:00,60,45,28,13,
Hà Nội,4/12/2021 5:00,1,1,27,6,1
Đà Nẵng,6/26/2021 16:00,22,19,11,1,27
Nha Trang,6/26/2021 16:00,,,3,1,5
Hà Nội,4/27/2021 16:00,41,37,18,17,
Hà Nội,4/27/2021 16:00,32,27,7,3,
Hà Nội,4/27/2021 16:00,74,63,19,12,
Hà Nội,5/5/2021 14:00,18,12,,5,
Cao Bằng,6/26/2021 16:00,63,124,1,,2
